Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
A1,Y,0.1139991466825591,0.2955265560358997,0.0531569248109206,0.2303454159278594,2.9552655603589972,_1852_
A2,Y,0.1355884609632806,0.3440453019856672,0.058707852740902,0.2350426031444403,3.4404530198566716,_1841_
B1,Y,0.071342551940953,0.2434720272084584,0.0337139700699407,0.1473084335096848,2.4347202720845837,_1864_
A1_N,X,0.1643853433237125,0.5241850990524357,0.1295226879077502,0.6240377280439791,5.241850990524357,_0995_
A2_N,X,0.159859310869006,0.5357267003871015,0.1330473824326519,0.6835708859102592,5.357267003871014,A2_N
B1,X,0.0895071125884972,0.2637848070193631,0.1715025808800271,0.6014771073671182,2.6378480701936304,_1864_
B2,X,0.0979940670234997,0.3290243726157266,0.1548822919311542,0.590868370955277,3.2902437261572657,_1843_
A1,X,0.1022899294220101,0.356081313402757,0.1423292496368738,0.4398061761486562,3.56081313402757,_1852_
A2,X,0.0944033905545997,0.3282843811933099,0.1354730810321832,0.4401102384881248,3.2828438119330987,_1841_
B1,X,0.0936775822317237,0.3415629264991258,0.1163338625026492,0.4168638885407106,3.415629264991258,_1864_
B2,X,0.0861934020776048,0.337976628472403,0.100746643046301,0.363665469143071,3.3797662847240297,_1843_
A,Y,0.0470509755585504,0.1267624791014387,0.0215688896459376,0.1006735556747441,1.267624791014387,key_in[15]
A,Y,0.1108537182313835,0.2914863988238741,0.0467078160202744,0.1784450415717472,2.914863988238741,key_in[15]
B,Y,0.0857303211020429,0.2141143156712758,0.029256171230368,0.0918503910039069,2.141143156712758,_1780_
A1,X,0.0854400671618335,0.2968806673417563,0.115357573980546,0.3527111480494657,2.9688066734175624,_1852_
A2,X,0.0752216157875494,0.2363154738781723,0.1135862269724472,0.3242894933263937,2.363154738781723,_1841_
B1,X,0.0625963604223688,0.2274841074345087,0.0704925235358961,0.3026452785155518,2.274841074345087,_1864_
A1_N,X,0.2319772495311805,0.6866594709409662,0.1729292452625949,0.7697324662195206,6.866594709409662,_0995_
A2_N,X,0.218891966303842,0.6419637780846188,0.1656705097777899,0.7489288290399713,6.4196377808461875,A2_N
